username,acctdesc,location,following,totaltweets,usercreatedts,tweetcreatedts,retweetcount,followers,text,hashtags
FatihReborn,Perjuangan masih panjang semoga istiqomah,,54,10,773,12/5/2020 14:27,12/20/2020 16:22,12,"Sehatnya rakyat Indonesia tentu harus mencakup dari Sabang sampai Merauke. Vaksin sebagai satu elemen pun begitu. Gizi pun sama. Perlu dikuatkan.

#vaksinuntukkita #vaksinuntuksemua #sehatuntuksemua

Catatan : Masker dibuka dulu agar bisa bercakap sesama warga. Sambil jaga jarak. https://t.co/jixW5k28Qm",[]
dizyyyyyyyyyy,apa aja deh,,53,13,263,4/26/2019 14:27,12/20/2020 16:12,216,"Sama seperti kita yang ingin pandemi segera berakhir, mereka para relawan tenaga kesehatan juga berharap ini semua lekas berakhir. 

#VaksinUntukKita https://t.co/aFgSEhKd4H",[]
ilupyusayanggg,Masih banyak dosa tp ada peluang masuk surga,"Surakarta, Jawa Tengah",410,770,30969,2/11/2011 9:00,12/20/2020 15:59,41,"Dengan dukung satu sama lain, masa-masa seperti ini pasti akan segera terlewati. Diaminin aja yah semua ini cepat berakhir, dan kita semua bisa menata hidup yang lebih baik lagi dengan bantuan vaksin! 

#VaksinUntukKita https://t.co/7Ol220FPLV",[]
PMRLangkawi1,"Pusat Maklumat Rakyat Langkawi
Pejabat Penerangan Daerah Langkawi
Kompleks LADA, Kuah, Langkawi
☎ 04 - 966 6289
📠 04 - 966 1325","Langkawi, Kedah",987,329,16864,3/25/2020 16:06,12/20/2020 15:58,63,"Lindungi orang yang kita sayang dengan vaksin.

#KomunikasiKita
#VaksinCOVID19 
#JabatanPenerangan https://t.co/2f18p5aqmJ","[{'text': 'KomunikasiKita', 'indices': [65, 80]}, {'text': 'VaksinCOVID19', 'indices': [81, 95]}, {'text': 'JabatanPenerangan', 'indices': [97, 115]}]"
anas_erindra,🇮🇩 ꧋ꦥꦶꦱ꧀ꦭꦺꦴꦥ꦳꧀ꦲꦥ꧀ꦥꦶꦤꦼꦱ꧀꧈ |je m'appelle Anas |it's all about my precious world| peacemaker ✌💚😘,Solo - Indonesia,443,744,257302,8/13/2010 6:11,12/20/2020 15:55,1,"Pakar kesehatan masyarakat mengingatkan vaksin COVID-19 bukan obat ampuh yang sesuai harapan setiap orang.

Ada vaksin bukan berarti meninggalkan langkah-langkah pencegahan virus seperti menjaga jarak, cuci tangan, atau pakai masker.

#vaksin #CBnews 

https://t.co/miaPBMZOHS",[]
mixstile,"• Announcer 🎧📻

• @BTS_twt 

• #V 

• #jhope

💍 : @jjodie06",,174,74,12044,4/14/2019 6:08,12/20/2020 15:30,0,"Pemerintah jamin vaksin covid-19 aman dan halal 
https://t.co/qqmpEbk5Xi
#VaksinUntukNegeri #VaksinCOVID19 #vaksincorona #vaksingratisutkrakyat","[{'text': 'VaksinUntukNegeri', 'indices': [73, 91]}, {'text': 'VaksinCOVID19', 'indices': [92, 106]}, {'text': 'vaksincorona', 'indices': [107, 120]}, {'text': 'vaksingratisutkrakyat', 'indices': [121, 143]}]"
tokwan_jeli,Tokwan Jeli,,2038,357,31291,12/14/2018 10:20,12/20/2020 15:29,47,"Lindungi orang yang kita sayang dengan vaksin.

#KomunikasiKita
#VaksinCOVID19 https://t.co/1mUFNW7O4K","[{'text': 'KomunikasiKita', 'indices': [62, 77]}, {'text': 'VaksinCOVID19', 'indices': [78, 92]}]"
PMRDaerahJeli,,,694,459,29433,12/18/2016 2:05,12/20/2020 15:24,47,"Lindungi orang yang kita sayang dengan vaksin.

#KomunikasiKita
#VaksinCOVID19 https://t.co/1mUFNW7O4K","[{'text': 'KomunikasiKita', 'indices': [62, 77]}, {'text': 'VaksinCOVID19', 'indices': [78, 92]}]"
choudragonboys,Dragonboys,,17,1,27,9/4/2020 0:33,12/20/2020 15:22,12,"Sehatnya rakyat Indonesia tentu harus mencakup dari Sabang sampai Merauke. Vaksin sebagai satu elemen pun begitu. Gizi pun sama. Perlu dikuatkan.

#vaksinuntukkita #vaksinuntuksemua #sehatuntuksemua

Catatan : Masker dibuka dulu agar bisa bercakap sesama warga. Sambil jaga jarak. https://t.co/jixW5k28Qm",[]
sweeettcakes,i stand you,"East Java, Indonesia",345,327,662,3/30/2020 0:16,12/20/2020 15:20,216,"Sama seperti kita yang ingin pandemi segera berakhir, mereka para relawan tenaga kesehatan juga berharap ini semua lekas berakhir. 

#VaksinUntukKita https://t.co/aFgSEhKd4H",[]
