username,tweetcreatedts,text,tweet_clean,tweet_english
FatihReborn,12/5/2020 14:27,"Sehatnya rakyat Indonesia tentu harus mencakup dari Sabang sampai Merauke. Vaksin sebagai satu elemen pun begitu. Gizi pun sama. Perlu dikuatkan.

#vaksinuntukkita #vaksinuntuksemua #sehatuntuksemua

Catatan : Masker dibuka dulu agar bisa bercakap sesama warga. Sambil jaga jarak. https://t.co/jixW5k28Qm",Sehatnya rakyat Indonesia tentu harus mencakup dari Sabang sampai Merauke. Vaksin sebagai satu elemen pun begitu. Gizi pun sama. Perlu dikuatkan. #vaksinuntukkita #vaksinuntuksemua #sehatuntuksemua Catatan : Masker dibuka dulu agar bisa bercakap sesama warga. Sambil jaga jarak.,The health of the Indonesian people must certainly include from Sabang to Merauke. Vaccines as an element too. Nutrition is the same. It needs to be strengthened. #vaksinuntukkita #vaksinuntuksuansa #sehatuntuksAll Note: The mask is opened first so you can talk to fellow residents While keeping your distance. 
dizyyyyyyyyyy,4/26/2019 14:27,"Sama seperti kita yang ingin pandemi segera berakhir, mereka para relawan tenaga kesehatan juga berharap ini semua lekas berakhir. 

#VaksinUntukKita https://t.co/aFgSEhKd4H","Sama seperti kita yang ingin pandemi segera berakhir, mereka para relawan tenaga kesehatan juga berharap ini semua lekas berakhir. #VaksinUntukKita","Just as we want the pandemic to end soon, they are volunteer health workers also hope that this will end quickly. #VaccinesFor Us "
ilupyusayanggg,2/11/2011 9:00,"Dengan dukung satu sama lain, masa-masa seperti ini pasti akan segera terlewati. Diaminin aja yah semua ini cepat berakhir, dan kita semua bisa menata hidup yang lebih baik lagi dengan bantuan vaksin! 

#VaksinUntukKita https://t.co/7Ol220FPLV","Dengan dukung satu sama lain, masa-masa seperti ini pasti akan segera terlewati. Diaminin aja yah semua ini cepat berakhir, dan kita semua bisa menata hidup yang lebih baik lagi dengan bantuan vaksin! #VaksinUntukKita","With one another's support, times like these will surely pass soon. Just guarantee that all of this will quickly end, and we can all live a better life with the help of vaccines! #VaccinesFor Us "
PMRLangkawi1,3/25/2020 16:06,"Lindungi orang yang kita sayang dengan vaksin.

#KomunikasiKita
#VaksinCOVID19 
#JabatanPenerangan https://t.co/2f18p5aqmJ",Lindungi orang yang kita sayang dengan vaksin. #KomunikasiKita #VaksinCOVID19 #JabatanPenerangan,Protect our loved ones with the vaccine. #KomunikasiKita # VaksinCOVID19 #JabatanPenerangan 
anas_erindra,8/13/2010 6:11,"Pakar kesehatan masyarakat mengingatkan vaksin COVID-19 bukan obat ampuh yang sesuai harapan setiap orang.

Ada vaksin bukan berarti meninggalkan langkah-langkah pencegahan virus seperti menjaga jarak, cuci tangan, atau pakai masker.

#vaksin #CBnews 

https://t.co/miaPBMZOHS","Pakar kesehatan masyarakat mengingatkan vaksin COVID-19 bukan obat ampuh yang sesuai harapan setiap orang. Ada vaksin bukan berarti meninggalkan langkah-langkah pencegahan virus seperti menjaga jarak, cuci tangan, atau pakai masker. #vaksin #CBnews","Public health experts warn that the COVID-19 vaccine is not a potent drug that everyone hopes. Having a vaccine does not mean abandoning virus prevention measures such as keeping your distance, washing your hands, or wearing a mask. #CBnews vaccine "
mixstile,4/14/2019 6:08,"Pemerintah jamin vaksin covid-19 aman dan halal 
https://t.co/qqmpEbk5Xi
#VaksinUntukNegeri #VaksinCOVID19 #vaksincorona #vaksingratisutkrakyat",Pemerintah jamin vaksin covid-19 aman dan halal #VaksinUntukNegeri #VaksinCOVID19 #vaksincorona #vaksingratisutkrakyat,The government guarantees the covid-19 vaccine is safe and lawful #VaksinUntukNegeri # VaksinCOVID19 #vaksincorona #vaksingratisutkrakyat 
tokwan_jeli,12/14/2018 10:20,"Lindungi orang yang kita sayang dengan vaksin.

#KomunikasiKita
#VaksinCOVID19 https://t.co/1mUFNW7O4K",Lindungi orang yang kita sayang dengan vaksin. #KomunikasiKita #VaksinCOVID19,Protect our loved ones with vaccines. #Our Communications # VaksinCOVID19 
PMRDaerahJeli,12/18/2016 2:05,"Lindungi orang yang kita sayang dengan vaksin.

#KomunikasiKita
#VaksinCOVID19 https://t.co/1mUFNW7O4K",Lindungi orang yang kita sayang dengan vaksin. #KomunikasiKita #VaksinCOVID19,Protect our loved ones with vaccines. #Our Communications # VaksinCOVID19 
choudragonboys,9/4/2020 0:33,"Sehatnya rakyat Indonesia tentu harus mencakup dari Sabang sampai Merauke. Vaksin sebagai satu elemen pun begitu. Gizi pun sama. Perlu dikuatkan.

#vaksinuntukkita #vaksinuntuksemua #sehatuntuksemua

Catatan : Masker dibuka dulu agar bisa bercakap sesama warga. Sambil jaga jarak. https://t.co/jixW5k28Qm",Sehatnya rakyat Indonesia tentu harus mencakup dari Sabang sampai Merauke. Vaksin sebagai satu elemen pun begitu. Gizi pun sama. Perlu dikuatkan. #vaksinuntukkita #vaksinuntuksemua #sehatuntuksemua Catatan : Masker dibuka dulu agar bisa bercakap sesama warga. Sambil jaga jarak.,The health of the Indonesian people must certainly include from Sabang to Merauke. Vaccines as an element too. Nutrition is the same. It needs to be strengthened. #vaksinuntukkita #vaksinuntuksuansa #sehatuntuksAll Note: The mask is opened first so you can talk to fellow residents While keeping your distance. 
sweeettcakes,3/30/2020 0:16,"Sama seperti kita yang ingin pandemi segera berakhir, mereka para relawan tenaga kesehatan juga berharap ini semua lekas berakhir. 

#VaksinUntukKita https://t.co/aFgSEhKd4H","Sama seperti kita yang ingin pandemi segera berakhir, mereka para relawan tenaga kesehatan juga berharap ini semua lekas berakhir. #VaksinUntukKita","Just as we want the pandemic to end soon, they are volunteer health workers also hope that this will end quickly. #VaccinesFor Us "
